TEAM	MATCH UP	GAME DATE	W/L	PTS	+/-
NYK	NYK @ GSW	12/11/2019	W	124	2
GSW	GSW vs. NYK	12/11/2019	L	122	-2
DEN	DEN vs. POR	12/12/2019	W	114	15
POR	POR @ DEN	12/12/2019	L	99	-15
DAL	DAL @ DET	12/12/2019	W	122	11
DET	DET vs. DAL	12/12/2019	L	111	-11
PHI	PHI @ BOS	12/12/2019	W	115	6
BOS	BOS vs. PHI	12/12/2019	L	109	-6
SAS	SAS vs. CLE	12/12/2019	L	109	-8
CLE	CLE @ SAS	12/12/2019	W	117	8
MIL	MIL @ MEM	12/13/2019	W	127	13
MEM	MEM vs. MIL	12/13/2019	L	114	-13
LAC	LAC @ MIN	12/13/2019	W	124	7
MIN	MIN vs. LAC	12/13/2019	L	117	-7
NYK	NYK @ SAC	12/13/2019	W	103	2
SAC	SAC vs. NYK	12/13/2019	L	101	-2
IND	IND @ ATL	12/13/2019	W	110	10
ATL	ATL vs. IND	12/13/2019	L	100	-10
UTA	UTA vs. GSW	12/13/2019	W	114	8
GSW	GSW @ UTA	12/13/2019	L	106	-8
LAL	LAL @ MIA	12/13/2019	W	113	3
MIA	MIA vs. LAL	12/13/2019	L	110	-3
ORL	ORL vs. HOU	12/13/2019	L	107	-23
HOU	HOU @ ORL	12/13/2019	W	130	23
CHI	CHI vs. CHA	12/13/2019	L	73	-10
CHA	CHA @ CHI	12/13/2019	W	83	10
PHI	PHI vs. NOP	12/13/2019	W	116	7
NOP	NOP @ PHI	12/13/2019	L	109	-7
MEM	MEM vs. WAS	12/14/2019	W	128	17
WAS	WAS @ MEM	12/14/2019	L	111	-17
BKN	BKN @ TOR	12/14/2019	L	102	-8
TOR	TOR vs. BKN	12/14/2019	W	110	8
OKC	OKC @ DEN	12/14/2019	L	102	-8
DEN	DEN vs. OKC	12/14/2019	W	110	8
DAL	DAL vs. MIA	12/14/2019	L	118	-4
MIA	MIA @ DAL	12/14/2019	W	122	4
CLE	CLE @ MIL	12/14/2019	L	108	-17
MIL	MIL vs. CLE	12/14/2019	W	125	17
HOU	HOU vs. DET	12/14/2019	L	107	-8
DET	DET @ HOU	12/14/2019	W	115	8
PHX	PHX vs. SAS	12/14/2019	L	119	-2
SAS	SAS @ PHX	12/14/2019	W	121	2
CHI	CHI vs. LAC	12/14/2019	W	109	3
LAC	LAC @ CHI	12/14/2019	L	106	-3
ORL	ORL @ NOP	12/15/2019	W	130	11
NOP	NOP vs. ORL	12/15/2019	L	119	-11
NYK	NYK @ DEN	12/15/2019	L	105	-6
DEN	DEN vs. NYK	12/15/2019	W	111	6
ATL	ATL vs. LAL	12/15/2019	L	96	-5
LAL	LAL @ ATL	12/15/2019	W	101	5
CHA	CHA @ IND	12/15/2019	L	85	-22
IND	IND vs. CHA	12/15/2019	W	107	22
BKN	BKN vs. PHI	12/15/2019	W	109	20
PHI	PHI @ BKN	12/15/2019	L	89	-20
GSW	GSW vs. SAC	12/15/2019	L	79	-21
SAC	SAC @ GSW	12/15/2019	W	100	21
OKC	OKC vs. CHI	12/16/2019	W	109	3
CHI	CHI @ OKC	12/16/2019	L	106	-3
MEM	MEM vs. MIA	12/16/2019	W	118	7
MIA	MIA @ MEM	12/16/2019	L	111	-7
TOR	TOR vs. CLE	12/16/2019	W	133	20
CLE	CLE @ TOR	12/16/2019	L	113	-20
MIL	MIL vs. DAL	12/16/2019	L	116	-4
DAL	DAL @ MIL	12/16/2019	W	120	4
DET	DET vs. WAS	12/16/2019	L	119	-14
WAS	WAS @ DET	12/16/2019	W	133	14
HOU	HOU vs. SAS	12/16/2019	W	109	2
SAS	SAS @ HOU	12/16/2019	L	107	-2
POR	POR @ PHX	12/16/2019	W	111	1
PHX	PHX vs. POR	12/16/2019	L	110	-1
BKN	BKN @ NOP	12/17/2019	W	108	7
NOP	NOP vs. BKN	12/17/2019	L	101	-7
SAC	SAC @ CHA	12/17/2019	L	102	-8
CHA	CHA vs. SAC	12/17/2019	W	110	8
IND	IND vs. LAL	12/17/2019	W	105	3
LAL	LAL @ IND	12/17/2019	L	102	-3
UTA	UTA vs. ORL	12/17/2019	W	109	7
ORL	ORL @ UTA	12/17/2019	L	102	-7
PHX	PHX @ LAC	12/17/2019	L	99	-21
LAC	LAC vs. PHX	12/17/2019	W	120	21
ATL	ATL @ NYK	12/17/2019	L	120	-23
NYK	NYK vs. ATL	12/17/2019	W	143	23
MEM	MEM @ OKC	12/18/2019	L	122	-4
OKC	OKC vs. MEM	12/18/2019	W	126	4
WAS	WAS vs. CHI	12/18/2019	L	109	-1
CHI	CHI @ WAS	12/18/2019	W	110	1
MIN	MIN vs. NOP	12/18/2019	L	99	-8
NOP	NOP @ MIN	12/18/2019	W	107	8
ORL	ORL @ DEN	12/18/2019	L	104	-9
DEN	DEN vs. ORL	12/18/2019	W	113	9
DAL	DAL vs. BOS	12/18/2019	L	103	-6
BOS	BOS @ DAL	12/18/2019	W	109	6
GSW	GSW @ POR	12/18/2019	L	112	-10
POR	POR vs. GSW	12/18/2019	W	122	10
DET	DET vs. TOR	12/18/2019	L	99	-13
TOR	TOR @ DET	12/18/2019	W	112	13
CHA	CHA @ CLE	12/18/2019	L	98	-2
CLE	CLE vs. CHA	12/18/2019	W	100	2
MIA	MIA @ PHI	12/18/2019	W	108	4
PHI	PHI vs. MIA	12/18/2019	L	104	-4
UTA	UTA @ ATL	12/19/2019	W	111	5
ATL	ATL vs. UTA	12/19/2019	L	106	-5
LAL	LAL @ MIL	12/19/2019	L	104	-7
MIL	MIL vs. LAL	12/19/2019	W	111	7
LAC	LAC vs. HOU	12/19/2019	L	117	-5
HOU	HOU @ LAC	12/19/2019	W	122	5
BKN	BKN @ SAS	12/19/2019	L	105	-13
SAS	SAS vs. BKN	12/19/2019	W	118	13
ORL	ORL @ POR	12/20/2019	L	103	-15
POR	POR vs. ORL	12/20/2019	W	118	15
MIN	MIN @ DEN	12/20/2019	L	100	-9
DEN	DEN vs. MIN	12/20/2019	W	109	9
OKC	OKC vs. PHX	12/20/2019	W	126	18
PHX	PHX @ OKC	12/20/2019	L	108	-18
DAL	DAL @ PHI	12/20/2019	W	117	19
PHI	PHI vs. DAL	12/20/2019	L	98	-19
NYK	NYK @ MIA	12/20/2019	L	114	-15
MIA	MIA vs. NYK	12/20/2019	W	129	15
WAS	WAS @ TOR	12/20/2019	L	118	-4
TOR	TOR vs. WAS	12/20/2019	W	122	4
DET	DET @ BOS	12/20/2019	L	93	-21
BOS	BOS vs. DET	12/20/2019	W	114	21
CLE	CLE vs. MEM	12/20/2019	W	114	7
MEM	MEM @ CLE	12/20/2019	L	107	-7
IND	IND vs. SAC	12/20/2019	W	119	14
SAC	SAC @ IND	12/20/2019	L	105	-14
GSW	GSW vs. NOP	12/20/2019	W	106	4
NOP	NOP @ GSW	12/20/2019	L	102	-4
DET	DET vs. CHI	12/21/2019	L	107	-12
CHI	CHI @ DET	12/21/2019	W	119	12
MEM	MEM vs. SAC	12/21/2019	W	119	4
SAC	SAC @ MEM	12/21/2019	L	115	-4
MIN	MIN @ POR	12/21/2019	L	106	-7
POR	POR vs. MIN	12/21/2019	W	113	7
PHX	PHX vs. HOU	12/21/2019	L	125	-14
HOU	HOU @ PHX	12/21/2019	W	139	14
LAC	LAC @ SAS	12/21/2019	W	134	25
SAS	SAS vs. LAC	12/21/2019	L	109	-25
NYK	NYK vs. MIL	12/21/2019	L	102	-21
MIL	MIL @ NYK	12/21/2019	W	123	21
PHI	PHI vs. WAS	12/21/2019	W	125	17
WAS	WAS @ PHI	12/21/2019	L	108	-17
BKN	BKN vs. ATL	12/21/2019	W	122	10
ATL	ATL @ BKN	12/21/2019	L	112	-10
UTA	UTA @ CHA	12/21/2019	W	114	7
CHA	CHA vs. UTA	12/21/2019	L	107	-7
LAL	LAL vs. DEN	12/22/2019	L	104	-24
DEN	DEN @ LAL	12/22/2019	W	128	24
OKC	OKC vs. LAC	12/22/2019	W	118	6
LAC	LAC @ OKC	12/22/2019	L	112	-6
MIL	MIL vs. IND	12/22/2019	W	117	28
IND	IND @ MIL	12/22/2019	L	89	-28
CHA	CHA @ BOS	12/22/2019	L	93	-26
BOS	BOS vs. CHA	12/22/2019	W	119	26
TOR	TOR vs. DAL	12/22/2019	W	110	3
DAL	DAL @ TOR	12/22/2019	L	107	-3
TOR	TOR @ IND	12/23/2019	L	115	-5
IND	IND vs. TOR	12/23/2019	W	120	5
GSW	GSW vs. MIN	12/23/2019	W	113	9
MIN	MIN @ GSW	12/23/2019	L	104	-9
MIA	MIA vs. UTA	12/23/2019	W	107	3
UTA	UTA @ MIA	12/23/2019	L	104	-3
CHI	CHI @ ORL	12/23/2019	L	95	-8
ORL	ORL vs. CHI	12/23/2019	W	103	8
HOU	HOU @ SAC	12/23/2019	W	113	9
SAC	SAC vs. HOU	12/23/2019	L	104	-9
POR	POR vs. NOP	12/23/2019	L	94	-8
NOP	NOP @ POR	12/23/2019	W	102	8
PHX	PHX vs. DEN	12/23/2019	L	111	-2
DEN	DEN @ PHX	12/23/2019	W	113	2
MEM	MEM vs. SAS	12/23/2019	L	115	-30
SAS	SAS @ MEM	12/23/2019	W	145	30
WAS	WAS @ NYK	12/23/2019	W	121	6
NYK	NYK vs. WAS	12/23/2019	L	115	-6
PHI	PHI @ DET	12/23/2019	W	125	16
DET	DET vs. PHI	12/23/2019	L	109	-16
ATL	ATL @ CLE	12/23/2019	L	118	-3
CLE	CLE vs. ATL	12/23/2019	W	121	3
NOP	NOP @ DEN	12/25/2019	W	112	12
DEN	DEN vs. NOP	12/25/2019	L	100	-12
LAL	LAL vs. LAC	12/25/2019	L	106	-5
LAC	LAC @ LAL	12/25/2019	W	111	5
GSW	GSW vs. HOU	12/25/2019	W	116	12
HOU	HOU @ GSW	12/25/2019	L	104	-12
PHI	PHI vs. MIL	12/25/2019	W	121	12
MIL	MIL @ PHI	12/25/2019	L	109	-12
BOS	BOS @ TOR	12/25/2019	W	118	16
TOR	TOR vs. BOS	12/25/2019	L	102	-16
SAS	SAS @ DAL	12/26/2019	L	98	-4
DAL	DAL vs. SAS	12/26/2019	W	102	4
MEM	MEM @ OKC	12/26/2019	W	110	13
OKC	OKC vs. MEM	12/26/2019	L	97	-13
NYK	NYK @ BKN	12/26/2019	W	94	12
BKN	BKN vs. NYK	12/26/2019	L	82	-12
WAS	WAS @ DET	12/26/2019	L	102	-30
DET	DET vs. WAS	12/26/2019	W	132	30
UTA	UTA vs. POR	12/26/2019	W	121	6
POR	POR @ UTA	12/26/2019	L	115	-6
MIN	MIN @ SAC	12/26/2019	W	105	1
SAC	SAC vs. MIN	12/26/2019	L	104	-1
IND	IND @ MIA	12/27/2019	L	112	-1
MIA	MIA vs. IND	12/27/2019	W	113	1
OKC	OKC @ CHA	12/27/2019	W	104	2
CHA	CHA vs. OKC	12/27/2019	L	102	-2
ATL	ATL vs. MIL	12/27/2019	L	86	-26
MIL	MIL @ ATL	12/27/2019	W	112	26
GSW	GSW vs. PHX	12/27/2019	W	105	9
PHX	PHX @ GSW	12/27/2019	L	96	-9
PHI	PHI @ ORL	12/27/2019	L	97	-1
ORL	ORL vs. PHI	12/27/2019	W	98	1
CLE	CLE @ BOS	12/27/2019	L	117	-12
BOS	BOS vs. CLE	12/27/2019	W	129	12
DAL	DAL @ GSW	12/28/2019	W	141	20
GSW	GSW vs. DAL	12/28/2019	L	121	-20
MIN	MIN vs. CLE	12/28/2019	L	88	-6
CLE	CLE @ MIN	12/28/2019	W	94	6
ORL	ORL @ MIL	12/28/2019	L	100	-11
MIL	MIL vs. ORL	12/28/2019	W	111	11
SAC	SAC vs. PHX	12/28/2019	L	110	-2
PHX	PHX @ SAC	12/28/2019	W	112	2
DET	DET @ SAS	12/28/2019	L	109	-27
SAS	SAS vs. DET	12/28/2019	W	136	27
LAC	LAC vs. UTA	12/28/2019	L	107	-13
UTA	UTA @ LAC	12/28/2019	W	120	13
LAL	LAL @ POR	12/28/2019	W	128	8
POR	POR vs. LAL	12/28/2019	L	120	-8
MIA	MIA vs. PHI	12/28/2019	W	117	1
PHI	PHI @ MIA	12/28/2019	L	116	-1
HOU	HOU vs. BKN	12/28/2019	W	108	10
BKN	BKN @ HOU	12/28/2019	L	98	-10
NYK	NYK @ WAS	12/28/2019	W	107	7
WAS	WAS vs. NYK	12/28/2019	L	100	-7
ATL	ATL @ CHI	12/28/2019	L	81	-35
CHI	CHI vs. ATL	12/28/2019	W	116	35
TOR	TOR @ BOS	12/28/2019	W	113	16
BOS	BOS vs. TOR	12/28/2019	L	97	-16
IND	IND @ NOP	12/28/2019	L	98	-22
NOP	NOP vs. IND	12/28/2019	W	120	22
DEN	DEN vs. MEM	12/28/2019	W	119	9
MEM	MEM @ DEN	12/28/2019	L	110	-9
CHA	CHA @ MEM	12/29/2019	L	104	-13
MEM	MEM vs. CHA	12/29/2019	W	117	13
LAL	LAL vs. DAL	12/29/2019	W	108	13
DAL	DAL @ LAL	12/29/2019	L	95	-13
SAC	SAC @ DEN	12/29/2019	L	115	-5
DEN	DEN vs. SAC	12/29/2019	W	120	5
HOU	HOU @ NOP	12/29/2019	L	112	-15
NOP	NOP vs. HOU	12/29/2019	W	127	15
TOR	TOR vs. OKC	12/29/2019	L	97	-1
OKC	OKC @ TOR	12/29/2019	W	98	1
PHX	PHX @ POR	12/30/2019	W	122	6
POR	POR vs. PHX	12/30/2019	L	116	-6
UTA	UTA vs. DET	12/30/2019	W	104	23
DET	DET @ UTA	12/30/2019	L	81	-23
BKN	BKN @ MIN	12/30/2019	L	115	-7
MIN	MIN vs. BKN	12/30/2019	W	122	7
ATL	ATL @ ORL	12/30/2019	W	101	8
ORL	ORL vs. ATL	12/30/2019	L	93	-8
MIL	MIL @ CHI	12/30/2019	W	123	21
CHI	CHI vs. MIL	12/30/2019	L	102	-21
MIA	MIA @ WAS	12/30/2019	L	105	-18
WAS	WAS vs. MIA	12/30/2019	W	123	18
OKC	OKC vs. DAL	12/31/2019	W	106	5
DAL	DAL @ OKC	12/31/2019	L	101	-5
GSW	GSW @ SAS	12/31/2019	L	113	-4
SAS	SAS vs. GSW	12/31/2019	W	117	4
DEN	DEN @ HOU	12/31/2019	L	104	-26
HOU	HOU vs. DEN	12/31/2019	W	130	26
TOR	TOR vs. CLE	12/31/2019	W	117	20
CLE	CLE @ TOR	12/31/2019	L	97	-20
SAC	SAC vs. LAC	12/31/2019	L	87	-18
LAC	LAC @ SAC	12/31/2019	W	105	18
PHI	PHI @ IND	12/31/2019	L	97	-18
IND	IND vs. PHI	12/31/2019	W	115	18
BOS	BOS @ CHA	12/31/2019	W	109	17
CHA	CHA vs. BOS	12/31/2019	L	92	-17
PHX	PHX @ LAL	01/01/2020	L	107	-10
LAL	LAL vs. PHX	01/01/2020	W	117	10
MIL	MIL vs. MIN	01/01/2020	W	106	2
MIN	MIN @ MIL	01/01/2020	L	104	-2
POR	POR @ NYK	01/01/2020	L	93	-24
NYK	NYK vs. POR	01/01/2020	W	117	24
ORL	ORL @ WAS	01/01/2020	W	122	21
WAS	WAS vs. ORL	01/01/2020	L	101	-21
DET	DET @ LAC	01/02/2020	L	112	-14
LAC	LAC vs. DET	01/02/2020	W	126	14
SAC	SAC vs. MEM	01/02/2020	W	128	5
MEM	MEM @ SAC	01/02/2020	L	123	-5
BKN	BKN @ DAL	01/02/2020	L	111	-12
DAL	DAL vs. BKN	01/02/2020	W	123	12
SAS	SAS vs. OKC	01/02/2020	L	103	-6
OKC	OKC @ SAS	01/02/2020	W	109	6
UTA	UTA @ CHI	01/02/2020	W	102	4
CHI	CHI vs. UTA	01/02/2020	L	98	-4
MIN	MIN vs. GSW	01/02/2020	W	99	15
GSW	GSW @ MIN	01/02/2020	L	84	-15
TOR	TOR @ MIA	01/02/2020	L	76	-8
MIA	MIA vs. TOR	01/02/2020	W	84	8
IND	IND vs. DEN	01/02/2020	L	116	-8
DEN	DEN @ IND	01/02/2020	W	124	8
CLE	CLE vs. CHA	01/02/2020	L	106	-3
CHA	CHA @ CLE	01/02/2020	W	109	3
POR	POR @ WAS	01/03/2020	W	122	19
WAS	WAS vs. POR	01/03/2020	L	103	-19
ATL	ATL @ BOS	01/03/2020	L	106	-3
BOS	BOS vs. ATL	01/03/2020	W	109	3
MIA	MIA @ ORL	01/03/2020	L	85	-20
ORL	ORL vs. MIA	01/03/2020	W	105	20
NOP	NOP @ LAL	01/03/2020	L	113	-10
LAL	LAL vs. NOP	01/03/2020	W	123	10
NYK	NYK @ PHX	01/03/2020	L	112	-8
PHX	PHX vs. NYK	01/03/2020	W	120	8
HOU	HOU vs. PHI	01/03/2020	W	118	10
PHI	PHI @ HOU	01/03/2020	L	108	-10
ATL	ATL vs. IND	01/04/2020	W	116	5
IND	IND @ ATL	01/04/2020	L	111	-5
NOP	NOP @ SAC	01/04/2020	W	117	2
SAC	SAC vs. NOP	01/04/2020	L	115	-2
DET	DET @ GSW	01/04/2020	W	111	7
GSW	GSW vs. DET	01/04/2020	L	104	-7
CHA	CHA @ DAL	01/04/2020	W	123	3
DAL	DAL vs. CHA	01/04/2020	L	120	-3
OKC	OKC @ CLE	01/04/2020	W	121	15
CLE	CLE vs. OKC	01/04/2020	L	106	-15
UTA	UTA @ ORL	01/04/2020	W	109	13
ORL	ORL vs. UTA	01/04/2020	L	96	-13
BKN	BKN vs. TOR	01/04/2020	L	102	-19
TOR	TOR @ BKN	01/04/2020	W	121	19
MEM	MEM @ LAC	01/04/2020	W	140	26
LAC	LAC vs. MEM	01/04/2020	L	114	-26
MIL	MIL vs. SAS	01/04/2020	W	127	9
SAS	SAS @ MIL	01/04/2020	L	118	-9
CHI	CHI vs. BOS	01/04/2020	L	104	-7
BOS	BOS @ CHI	01/04/2020	W	111	7
WAS	WAS vs. DEN	01/04/2020	W	128	14
DEN	DEN @ WAS	01/04/2020	L	114	-14
