PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	3PM	3PA	FTM	FTA	REB	AST	STL	BLK	+/-
Kyle Lowry	TOR	TOR vs. NOP	10/22/2019	W	45	22	4	15	3	11	11	13	5	6	2	0	-1
Lonzo Ball	NOP	NOP @ TOR	10/22/2019	L	25	8	2	7	2	3	2	2	5	5	0	0	-7
Nicolo Melli	NOP	NOP @ TOR	10/22/2019	L	20	14	5	7	4	5	0	0	5	2	0	0	11
Jrue Holiday	NOP	NOP @ TOR	10/22/2019	L	41	13	6	15	1	6	0	2	4	6	0	2	-14
OG Anunoby	TOR	TOR vs. NOP	10/22/2019	W	36	11	5	12	1	4	0	1	7	0	0	2	12
Brandon Ingram	NOP	NOP @ TOR	10/22/2019	L	35	22	8	19	2	5	4	4	5	5	1	2	-19
Marc Gasol	TOR	TOR vs. NOP	10/22/2019	W	32	6	2	9	1	4	1	1	4	1	0	0	-2
Norman Powell	TOR	TOR vs. NOP	10/22/2019	W	29	5	2	7	1	5	0	0	8	2	0	0	2
JJ Redick	NOP	NOP @ TOR	10/22/2019	L	27	16	6	9	4	6	0	0	2	1	0	0	-14
Fred VanVleet	TOR	TOR vs. NOP	10/22/2019	W	44	34	12	18	5	7	5	6	5	7	2	0	18
Derrick Favors	NOP	NOP @ TOR	10/22/2019	L	21	6	3	6	0	0	0	0	7	2	0	1	-12
E'Twaun Moore	NOP	NOP @ TOR	10/22/2019	L	12	5	2	7	1	3	0	0	3	2	0	0	-1
Jahlil Okafor	NOP	NOP @ TOR	10/22/2019	L	12	8	3	3	0	0	2	3	2	0	0	1	-7
Frank Jackson	NOP	NOP @ TOR	10/22/2019	L	14	9	3	6	1	3	2	2	0	1	0	0	7
Josh Hart	NOP	NOP @ TOR	10/22/2019	L	28	15	4	9	3	5	4	4	10	1	0	1	-1
Kenrich Williams	NOP	NOP @ TOR	10/22/2019	L	18	3	0	4	0	2	3	3	6	3	1	2	11
Nickeil Alexander-Walker	NOP	NOP @ TOR	10/22/2019	L	12	3	1	10	1	7	0	0	4	2	2	0	6
Pascal Siakam	TOR	TOR vs. NOP	10/22/2019	W	38	34	11	26	2	5	10	11	18	5	0	1	5
Terence Davis	TOR	TOR vs. NOP	10/22/2019	W	15	5	2	6	1	3	0	0	5	2	2	0	0
Serge Ibaka	TOR	TOR vs. NOP	10/22/2019	W	26	13	4	10	0	1	5	6	5	0	1	0	6
Anthony Davis	LAL	LAL @ LAC	10/22/2019	L	37	25	8	21	0	2	9	14	9	5	1	2	3
LeBron James	LAL	LAL @ LAC	10/22/2019	L	36	18	7	19	1	5	3	4	10	8	1	1	-8
Quinn Cook	LAL	LAL @ LAC	10/22/2019	L	17	4	2	7	0	3	0	0	1	2	0	0	-9
Jared Dudley	LAL	LAL @ LAC	10/22/2019	L	13	6	2	2	2	2	0	0	0	0	0	0	-20
Kentavious Caldwell-Pope	LAL	LAL @ LAC	10/22/2019	L	27	0	0	3	0	2	0	0	3	3	0	0	-8
Montrezl Harrell	LAC	LAC vs. LAL	10/22/2019	W	38	17	7	11	0	0	3	8	7	4	1	1	15
JaMychal Green	LAC	LAC vs. LAL	10/22/2019	W	19	12	4	8	4	7	0	0	6	0	0	0	5
Kawhi Leonard	LAC	LAC vs. LAL	10/22/2019	W	32	30	10	19	1	5	9	10	6	5	2	1	5
Dwight Howard	LAL	LAL @ LAC	10/22/2019	L	19	3	1	3	0	0	1	1	6	1	0	1	-1
Patrick Beverley	LAC	LAC vs. LAL	10/22/2019	W	31	2	1	7	0	5	0	0	10	6	0	1	13
Patrick Patterson	LAC	LAC vs. LAL	10/22/2019	W	17	4	1	3	1	3	1	2	3	0	0	0	-2
Ivica Zubac	LAC	LAC vs. LAL	10/22/2019	W	10	8	4	4	0	0	0	0	1	0	0	0	-5
Landry Shamet	LAC	LAC vs. LAL	10/22/2019	W	26	8	3	8	2	4	0	0	3	2	0	0	-1
JaVale McGee	LAL	LAL @ LAC	10/22/2019	L	17	4	2	3	0	0	0	0	2	0	0	2	0
Danny Green	LAL	LAL @ LAC	10/22/2019	L	32	28	10	14	7	9	1	1	7	0	2	1	7
Avery Bradley	LAL	LAL @ LAC	10/22/2019	L	24	8	3	7	2	5	0	0	3	0	0	0	-1
Troy Daniels	LAL	LAL @ LAC	10/22/2019	L	16	6	2	6	1	5	1	1	0	1	0	0	-13
Maurice Harkless	LAC	LAC vs. LAL	10/22/2019	W	29	10	4	7	2	3	0	0	4	0	4	2	7
Lou Williams	LAC	LAC vs. LAL	10/22/2019	W	37	21	8	14	1	4	4	4	5	7	1	0	13
Nicolas Batum	CHA	CHA vs. CHI	10/23/2019	W	11	0	0	0	0	0	0	0	4	2	0	0	1
Dwayne Bacon	CHA	CHA vs. CHI	10/23/2019	W	33	22	8	21	2	8	4	6	5	3	2	0	-3
Miles Bridges	CHA	CHA vs. CHI	10/23/2019	W	32	8	4	7	0	2	0	0	5	3	0	3	2
Wendell Carter Jr.	CHI	CHI @ CHA	10/23/2019	L	29	12	5	11	0	0	2	2	9	0	0	1	3
Thaddeus Young	CHI	CHI @ CHA	10/23/2019	L	25	17	7	11	3	5	0	0	3	2	1	0	11
Marvin Williams	CHA	CHA vs. CHI	10/23/2019	W	17	17	6	9	5	7	0	0	2	1	0	0	1
Terry Rozier	CHA	CHA vs. CHI	10/23/2019	W	30	7	2	10	2	6	1	1	4	6	0	0	-18
Malik Monk	CHA	CHA vs. CHI	10/23/2019	W	17	7	3	4	1	1	0	0	1	3	0	0	-3
Lauri Markkanen	CHI	CHI @ CHA	10/23/2019	L	34	35	13	25	1	7	8	10	17	2	1	0	-8
Devonte' Graham	CHA	CHA vs. CHI	10/23/2019	W	27	23	7	9	6	7	3	3	4	8	0	0	14
P.J. Washington	CHA	CHA vs. CHI	10/23/2019	W	38	27	9	17	7	11	2	2	4	1	1	1	8
Coby White	CHI	CHI @ CHA	10/23/2019	L	27	17	6	13	1	4	4	5	3	7	0	0	6
Otto Porter Jr.	CHI	CHI @ CHA	10/23/2019	L	28	9	3	10	1	5	2	2	2	1	2	1	14
Kris Dunn	CHI	CHI @ CHA	10/23/2019	L	24	11	5	7	0	2	1	2	2	2	4	0	-8
Luke Kornet	CHI	CHI @ CHA	10/23/2019	L	7	0	0	3	0	1	0	0	4	0	0	0	-8
Ryan Arcidiacono	CHI	CHI @ CHA	10/23/2019	L	11	6	2	3	2	2	0	0	3	1	1	0	-11
Zach LaVine	CHI	CHI @ CHA	10/23/2019	L	30	16	7	17	1	4	1	1	6	7	2	1	-8
Tomas Satoransky	CHI	CHI @ CHA	10/23/2019	L	24	2	1	5	0	0	0	0	0	3	0	1	4
Cody Zeller	CHA	CHA vs. CHI	10/23/2019	W	35	15	6	11	0	2	3	4	12	1	0	0	3
Davis Bertans	WAS	WAS @ DAL	10/23/2019	L	29	7	2	8	2	6	1	1	4	0	1	0	-17
Garrison Mathews	WAS	WAS @ DAL	10/23/2019	L	1	0	0	0	0	0	0	0	0	1	0	0	3
Justin Robinson	WAS	WAS @ DAL	10/23/2019	L	1	0	0	0	0	0	0	0	0	0	0	0	3
Isaac Bonga	WAS	WAS @ DAL	10/23/2019	L	23	9	4	5	1	2	0	1	3	2	1	1	0
Rui Hachimura	WAS	WAS @ DAL	10/23/2019	L	25	14	7	15	0	3	0	0	10	0	0	0	2
Bradley Beal	WAS	WAS @ DAL	10/23/2019	L	32	19	7	25	1	11	4	6	6	9	3	0	1
Ish Smith	WAS	WAS @ DAL	10/23/2019	L	24	7	3	9	1	4	0	0	3	4	0	1	-4
Maxi Kleber	DAL	DAL vs. WAS	10/23/2019	W	24	0	0	1	0	1	0	0	8	1	0	3	-3
Delon Wright	DAL	DAL vs. WAS	10/23/2019	W	21	5	1	2	1	1	2	2	4	3	1	0	1
Kristaps Porzingis	DAL	DAL vs. WAS	10/23/2019	W	29	23	7	16	3	7	6	7	4	2	1	1	3
Tim Hardaway Jr.	DAL	DAL vs. WAS	10/23/2019	W	21	4	2	7	0	5	0	0	1	1	0	0	2
Seth Curry	DAL	DAL vs. WAS	10/23/2019	W	20	9	3	6	1	2	2	2	3	1	0	0	11
Jordan McRae	WAS	WAS @ DAL	10/23/2019	L	23	11	4	9	1	3	2	2	5	3	0	0	-7
Justin Jackson	DAL	DAL vs. WAS	10/23/2019	W	19	10	4	6	0	2	2	2	4	2	0	0	10
Jalen Brunson	DAL	DAL vs. WAS	10/23/2019	W	24	9	3	10	1	3	2	4	4	3	2	0	2
Moritz Wagner	WAS	WAS @ DAL	10/23/2019	L	17	13	4	5	3	4	2	2	2	0	0	0	5
Luka Doncic	DAL	DAL vs. WAS	10/23/2019	W	34	34	12	19	4	9	6	8	9	3	2	0	0
Admiral Schofield	WAS	WAS @ DAL	10/23/2019	L	16	0	0	3	0	3	0	0	0	1	0	0	-7
Thomas Bryant	WAS	WAS @ DAL	10/23/2019	L	31	14	4	9	0	2	6	6	11	3	0	0	-16
Dorian Finney-Smith	DAL	DAL vs. WAS	10/23/2019	W	32	10	1	4	1	3	7	8	8	1	0	1	18
Chris Chiozza	WAS	WAS @ DAL	10/23/2019	L	19	6	2	5	2	3	0	0	3	3	1	1	-3
Courtney Lee	DAL	DAL vs. WAS	10/23/2019	W	16	4	2	5	0	3	0	0	1	0	0	0	-4
Myles Turner	IND	IND vs. DET	10/23/2019	L	38	25	9	15	4	7	3	3	9	0	2	3	-4
Malcolm Brogdon	IND	IND vs. DET	10/23/2019	L	36	22	5	13	2	4	10	11	3	11	0	1	-4
Reggie Jackson	DET	DET @ IND	10/23/2019	W	20	5	2	3	1	2	0	0	1	5	0	0	2
TJ Leaf	IND	IND vs. DET	10/23/2019	L	3	0	0	1	0	0	0	0	1	0	0	0	0
Edmond Sumner	IND	IND vs. DET	10/23/2019	L	22	6	3	6	0	0	0	0	1	2	3	0	-23
Langston Galloway	DET	DET @ IND	10/23/2019	W	20	5	2	4	1	1	0	0	4	0	1	1	11
T.J. McConnell	IND	IND vs. DET	10/23/2019	L	13	4	2	4	0	0	0	0	3	3	0	1	-2
Justin Holiday	IND	IND vs. DET	10/23/2019	L	15	0	0	2	0	1	0	0	0	2	1	0	-8
Domantas Sabonis	IND	IND vs. DET	10/23/2019	L	36	27	11	15	0	1	5	5	13	2	0	0	3
Andre Drummond	DET	DET @ IND	10/23/2019	W	41	32	12	18	0	1	8	10	23	2	3	4	4
Bruce Brown	DET	DET @ IND	10/23/2019	W	29	7	3	6	0	0	1	2	4	4	0	0	5
Aaron Holiday	IND	IND vs. DET	10/23/2019	L	7	0	0	6	0	1	0	0	1	2	1	0	-1
Derrick Rose	DET	DET @ IND	10/23/2019	W	27	18	6	11	0	0	6	7	3	9	0	0	5
Doug McDermott	IND	IND vs. DET	10/23/2019	L	11	6	2	4	2	3	0	0	0	1	0	0	-4
Tony Snell	DET	DET @ IND	10/23/2019	W	32	10	4	7	2	4	0	0	2	2	0	0	11
Tim Frazier	DET	DET @ IND	10/23/2019	W	1	0	0	1	0	0	0	0	0	0	0	0	2
Christian Wood	DET	DET @ IND	10/23/2019	W	4	0	0	0	0	0	0	0	0	0	0	0	-1
Thon Maker	DET	DET @ IND	10/23/2019	W	16	4	1	4	0	3	2	2	2	0	0	1	-3
Luke Kennard	DET	DET @ IND	10/23/2019	W	28	30	8	13	6	9	8	10	3	2	0	0	12
T.J. Warren	IND	IND vs. DET	10/23/2019	L	34	10	5	12	0	2	0	2	1	0	0	1	4
Jeremy Lamb	IND	IND vs. DET	10/23/2019	L	26	10	4	11	0	2	2	3	4	3	1	0	-6
Markieff Morris	DET	DET @ IND	10/23/2019	W	23	8	3	11	1	4	1	2	3	2	1	0	-3
Steven Adams	OKC	OKC @ UTA	10/23/2019	L	28	3	1	8	0	0	1	6	11	2	1	0	-1
Dennis Schroder	OKC	OKC @ UTA	10/23/2019	L	31	3	1	8	1	3	0	0	6	4	0	0	-3
Darius Bazley	OKC	OKC @ UTA	10/23/2019	L	19	0	0	3	0	1	0	0	3	0	0	1	-6
Georges Niang	UTA	UTA vs. OKC	10/23/2019	W	3	0	0	0	0	0	0	0	1	0	0	0	2
Bojan Bogdanovic	UTA	UTA vs. OKC	10/23/2019	W	24	16	6	14	1	5	3	3	3	0	1	0	2
Hamidou Diallo	OKC	OKC @ UTA	10/23/2019	L	23	12	5	8	0	1	2	4	3	0	1	0	-1
Donovan Mitchell	UTA	UTA vs. OKC	10/23/2019	W	36	32	14	22	1	3	3	4	12	3	1	0	9
Royce O'Neale	UTA	UTA vs. OKC	10/23/2019	W	30	14	6	6	2	2	0	0	5	0	1	0	-2
Emmanuel Mudiay	UTA	UTA vs. OKC	10/23/2019	W	23	12	6	11	0	1	0	0	2	5	0	1	4
Joe Ingles	UTA	UTA vs. OKC	10/23/2019	W	33	7	3	8	1	4	0	0	4	1	0	0	8
Rudy Gobert	UTA	UTA vs. OKC	10/23/2019	W	38	7	3	6	0	0	1	3	14	0	0	1	13
Ed Davis	UTA	UTA vs. OKC	10/23/2019	W	10	2	0	3	0	0	2	2	6	0	0	2	-8
Jeff Green	UTA	UTA vs. OKC	10/23/2019	W	17	5	1	4	1	3	2	4	2	1	0	1	-4
Mike Conley	UTA	UTA vs. OKC	10/23/2019	W	27	5	1	16	0	6	3	4	0	5	1	0	1
Shai Gilgeous-Alexander	OKC	OKC @ UTA	10/23/2019	L	37	26	10	23	3	7	3	6	2	1	1	0	-12
Terrance Ferguson	OKC	OKC @ UTA	10/23/2019	L	24	2	0	0	0	0	2	2	2	1	0	0	-9
Mike Muscala	OKC	OKC @ UTA	10/23/2019	L	16	4	0	4	0	3	4	4	4	2	0	2	1
Nerlens Noel	OKC	OKC @ UTA	10/23/2019	L	5	2	1	1	0	0	0	0	2	0	0	1	-5
Danilo Gallinari	OKC	OKC @ UTA	10/23/2019	L	28	21	7	13	2	5	5	5	7	2	1	0	7
Chris Paul	OKC	OKC @ UTA	10/23/2019	L	30	22	7	15	4	7	4	4	8	3	1	0	4
Skal Labissiere	POR	POR vs. DEN	10/23/2019	L	11	8	3	4	0	0	2	2	6	1	0	0	-3
Anfernee Simons	POR	POR vs. DEN	10/23/2019	L	12	5	2	7	0	2	1	2	0	0	2	0	-5
Malik Beasley	DEN	DEN @ POR	10/23/2019	W	13	6	2	6	2	4	0	0	1	1	1	0	5
Kent Bazemore	POR	POR vs. DEN	10/23/2019	L	25	4	1	7	0	3	2	2	2	0	5	0	-11
Torrey Craig	DEN	DEN @ POR	10/23/2019	W	16	10	4	6	2	3	0	0	6	2	1	1	2
Jerami Grant	DEN	DEN @ POR	10/23/2019	W	21	9	3	4	2	2	1	2	2	1	0	0	8
Mario Hezonja	POR	POR vs. DEN	10/23/2019	L	18	2	0	3	0	1	2	2	4	0	0	0	-7
Monte Morris	DEN	DEN @ POR	10/23/2019	W	14	6	2	6	0	0	2	2	1	3	0	0	-1
CJ McCollum	POR	POR vs. DEN	10/23/2019	L	36	12	5	18	2	4	0	0	3	3	1	0	-10
Mason Plumlee	DEN	DEN @ POR	10/23/2019	W	19	5	2	4	0	0	1	2	4	5	1	0	-8
Paul Millsap	DEN	DEN @ POR	10/23/2019	W	32	11	3	8	3	4	2	2	5	2	3	2	4
Will Barton	DEN	DEN @ POR	10/23/2019	W	31	19	3	8	2	3	11	12	5	2	2	1	2
Gary Harris	DEN	DEN @ POR	10/23/2019	W	35	8	3	11	1	5	1	1	3	0	2	0	5
Nikola Jokic	DEN	DEN @ POR	10/23/2019	W	24	20	8	14	3	5	1	2	13	2	0	0	14
Jamal Murray	DEN	DEN @ POR	10/23/2019	W	34	14	4	14	3	6	3	4	5	6	1	0	9
Anthony Tolliver	POR	POR vs. DEN	10/23/2019	L	13	0	0	1	0	1	0	0	0	0	0	0	-9
Hassan Whiteside	POR	POR vs. DEN	10/23/2019	L	26	16	6	7	0	0	4	4	19	0	0	2	0
Zach Collins	POR	POR vs. DEN	10/23/2019	L	30	8	4	9	0	2	0	0	5	0	0	2	2
Rodney Hood	POR	POR vs. DEN	10/23/2019	L	31	13	5	10	2	5	1	1	5	1	0	0	3
Damian Lillard	POR	POR vs. DEN	10/23/2019	L	38	32	10	21	3	10	9	10	4	8	1	0	0
Daryl Macon	MIA	MIA vs. MEM	10/23/2019	W	1	0	0	0	0	0	0	0	0	0	0	0	-4
Tyler Herro	MIA	MIA vs. MEM	10/23/2019	W	34	14	6	14	1	2	1	1	8	1	2	0	10
KZ Okpala	MIA	MIA vs. MEM	10/23/2019	W	1	0	0	0	0	0	0	0	1	0	0	0	-4
Goran Dragic	MIA	MIA vs. MEM	10/23/2019	W	25	19	4	9	2	4	9	10	3	3	1	2	0
Kelly Olynyk	MIA	MIA vs. MEM	10/23/2019	W	22	7	1	3	1	1	4	4	8	0	1	2	21
Kyle Anderson	MEM	MEM @ MIA	10/23/2019	L	21	4	2	4	0	1	0	0	8	0	1	0	-7
Grayson Allen	MEM	MEM @ MIA	10/23/2019	L	21	5	2	6	1	5	0	0	1	2	0	0	-17
Duncan Robinson	MIA	MIA vs. MEM	10/23/2019	W	23	3	1	5	1	5	0	0	1	1	0	0	-3
Jaren Jackson Jr.	MEM	MEM @ MIA	10/23/2019	L	30	17	5	12	0	6	7	9	3	0	1	2	-11
Ja Morant	MEM	MEM @ MIA	10/23/2019	L	25	14	6	12	0	1	2	4	4	4	1	1	-29
Justise Winslow	MIA	MIA vs. MEM	10/23/2019	W	37	27	10	21	1	2	6	9	7	7	1	1	22
Meyers Leonard	MIA	MIA vs. MEM	10/23/2019	W	19	0	0	2	0	2	0	0	3	0	1	0	-6
Bam Adebayo	MIA	MIA vs. MEM	10/23/2019	W	24	14	3	7	0	0	8	10	11	3	1	0	10
Kendrick Nunn	MIA	MIA vs. MEM	10/23/2019	W	27	24	10	18	1	2	3	3	2	3	2	0	27
Chris Silva	MIA	MIA vs. MEM	10/23/2019	W	11	8	3	3	0	0	2	2	6	0	0	3	18
Jonas Valanciunas	MEM	MEM @ MIA	10/23/2019	L	16	7	3	7	0	2	1	2	1	1	1	1	-19
Jae Crowder	MEM	MEM @ MIA	10/23/2019	L	30	13	3	11	2	9	5	6	5	2	1	0	-9
De'Anthony Melton	MEM	MEM @ MIA	10/23/2019	L	3	0	0	0	0	0	0	2	0	2	1	0	-2
Brandon Clarke	MEM	MEM @ MIA	10/23/2019	L	23	8	3	6	1	1	1	1	7	1	0	1	6
Bruno Caboclo	MEM	MEM @ MIA	10/23/2019	L	5	2	1	4	0	1	0	0	3	0	0	1	-3
Marko Guduric	MEM	MEM @ MIA	10/23/2019	L	24	9	4	8	0	3	1	1	2	2	0	0	6
Derrick Jones Jr.	MIA	MIA vs. MEM	10/23/2019	W	16	4	2	3	0	0	0	0	1	0	0	0	4
Dillon Brooks	MEM	MEM @ MIA	10/23/2019	L	18	7	3	7	1	2	0	0	5	1	1	1	-16
Tyus Jones	MEM	MEM @ MIA	10/23/2019	L	24	15	6	12	0	1	3	5	1	7	2	0	6
Tristan Thompson	CLE	CLE @ ORL	10/23/2019	L	33	16	8	11	0	0	0	0	11	1	0	1	0
Larry Nance Jr.	CLE	CLE @ ORL	10/23/2019	L	27	9	4	11	1	5	0	2	14	2	0	1	-3
Cedi Osman	CLE	CLE @ ORL	10/23/2019	L	29	13	5	9	3	6	0	0	3	2	2	0	6
Collin Sexton	CLE	CLE @ ORL	10/23/2019	L	30	16	5	15	3	8	3	4	2	2	0	0	-4
Darius Garland	CLE	CLE @ ORL	10/23/2019	L	32	8	3	9	2	4	0	0	2	5	1	0	-7
D.J. Augustin	ORL	ORL vs. CLE	10/23/2019	W	25	9	4	9	1	2	0	0	3	5	0	0	6
Kevin Love	CLE	CLE @ ORL	10/23/2019	L	36	11	4	9	0	1	3	4	18	3	1	0	-15
Evan Fournier	ORL	ORL vs. CLE	10/23/2019	W	28	16	7	13	2	4	0	2	3	4	1	1	-10
Aaron Gordon	ORL	ORL vs. CLE	10/23/2019	W	29	9	2	8	1	2	4	6	2	3	2	1	1
Kevin Porter Jr.	CLE	CLE @ ORL	10/23/2019	L	17	0	0	6	0	1	0	0	1	2	1	0	-5
Markelle Fultz	ORL	ORL vs. CLE	10/23/2019	W	23	12	6	12	0	3	0	0	0	6	2	0	3
Nikola Vucevic	ORL	ORL vs. CLE	10/23/2019	W	34	21	8	16	1	5	4	5	10	3	1	0	2
Mo Bamba	ORL	ORL vs. CLE	10/23/2019	W	14	7	3	5	1	3	0	0	7	1	1	0	7
Al-Farouq Aminu	ORL	ORL vs. CLE	10/23/2019	W	29	5	1	5	1	2	2	4	7	0	1	0	14
Terrence Ross	ORL	ORL vs. CLE	10/23/2019	W	19	10	4	13	2	7	0	0	4	0	2	0	17
Jordan Clarkson	CLE	CLE @ ORL	10/23/2019	L	18	7	2	12	0	5	3	3	2	0	2	0	-12
Matthew Dellavedova	CLE	CLE @ ORL	10/23/2019	L	18	5	2	6	0	4	1	2	1	3	1	0	-5
Michael Carter-Williams	ORL	ORL vs. CLE	10/23/2019	W	14	2	1	2	0	1	0	0	2	0	1	0	5
Jonathan Isaac	ORL	ORL vs. CLE	10/23/2019	W	24	3	1	3	0	1	1	2	8	2	1	2	0
Joe Harris	BKN	BKN vs. MIN	10/23/2019	L	39	14	5	9	4	6	0	0	4	2	0	1	1
Caris LeVert	BKN	BKN vs. MIN	10/23/2019	L	37	20	9	19	1	4	1	4	5	4	3	0	9
Jeff Teague	MIN	MIN @ BKN	10/23/2019	W	35	14	5	8	0	1	4	4	3	4	1	0	-7
Andrew Wiggins	MIN	MIN @ BKN	10/23/2019	W	36	21	10	27	0	4	1	2	8	0	0	0	-26
Rodions Kurucs	BKN	BKN vs. MIN	10/23/2019	L	7	0	0	1	0	0	0	0	2	0	0	0	-16
David Nwaba	BKN	BKN vs. MIN	10/23/2019	L	13	1	0	0	0	0	1	2	3	0	0	1	-13
Shabazz Napier	MIN	MIN @ BKN	10/23/2019	W	21	5	1	7	0	6	3	5	1	7	0	0	17
Noah Vonleh	MIN	MIN @ BKN	10/23/2019	W	14	2	1	3	0	2	0	0	4	1	2	0	2
Jake Layman	MIN	MIN @ BKN	10/23/2019	W	23	10	4	7	2	4	0	0	2	1	0	1	8
Josh Okogie	MIN	MIN @ BKN	10/23/2019	W	14	11	2	5	1	4	6	8	3	3	1	0	22
Jarrett Culver	MIN	MIN @ BKN	10/23/2019	W	16	4	2	5	0	2	0	0	2	0	1	0	6
DeAndre Jordan	BKN	BKN vs. MIN	10/23/2019	L	17	2	0	1	0	0	2	2	3	1	0	0	-12
Garrett Temple	BKN	BKN vs. MIN	10/23/2019	L	17	4	2	6	0	2	0	0	0	0	2	0	-15
Spencer Dinwiddie	BKN	BKN vs. MIN	10/23/2019	L	19	14	6	13	1	3	1	2	3	2	0	0	-7
Treveon Graham	MIN	MIN @ BKN	10/23/2019	W	35	9	4	13	0	3	1	1	6	4	1	0	-5
Kyrie Irving	BKN	BKN vs. MIN	10/23/2019	L	38	50	17	33	7	14	9	10	8	7	0	1	18
Robert Covington	MIN	MIN @ BKN	10/23/2019	W	33	15	6	11	3	6	0	0	9	0	0	0	-11
Taurean Prince	BKN	BKN vs. MIN	10/23/2019	L	41	15	6	13	2	5	1	2	11	2	2	1	19
Karl-Anthony Towns	MIN	MIN @ BKN	10/23/2019	W	39	36	11	22	7	11	7	8	14	3	3	3	-1
Jarrett Allen	BKN	BKN vs. MIN	10/23/2019	L	36	6	3	6	0	0	0	4	9	1	1	5	11
Wenyen Gabriel	SAC	SAC @ PHX	10/23/2019	L	2	1	0	0	0	0	1	2	1	0	0	0	1
Jevon Carter	PHX	PHX vs. SAC	10/23/2019	W	18	11	4	7	3	5	0	0	1	3	0	1	14
Caleb Swanigan	SAC	SAC @ PHX	10/23/2019	L	2	1	0	0	0	0	1	2	2	0	0	1	1
De'Aaron Fox	SAC	SAC @ PHX	10/23/2019	L	27	8	3	7	0	1	2	4	1	5	0	0	-17
Richaun Holmes	SAC	SAC @ PHX	10/23/2019	L	17	1	0	2	0	0	1	2	5	0	0	1	-8
Ricky Rubio	PHX	PHX vs. SAC	10/23/2019	W	30	11	4	12	0	2	3	4	6	11	4	0	15
Trevor Ariza	SAC	SAC @ PHX	10/23/2019	L	21	7	2	5	1	2	2	2	3	0	0	0	-9
Mikal Bridges	PHX	PHX vs. SAC	10/23/2019	W	23	5	1	4	0	2	3	4	3	1	3	0	19
Bogdan Bogdanovic	SAC	SAC @ PHX	10/23/2019	L	22	2	1	10	0	3	0	0	2	2	0	0	-24
Tyler Johnson	PHX	PHX vs. SAC	10/23/2019	W	17	10	4	8	2	4	0	0	2	2	2	1	10
Nemanja Bjelica	SAC	SAC @ PHX	10/23/2019	L	21	5	2	6	1	4	0	0	4	2	2	0	-9
Frank Kaminsky	PHX	PHX vs. SAC	10/23/2019	W	19	9	4	7	0	3	1	1	4	2	0	0	2
Deandre Ayton	PHX	PHX vs. SAC	10/23/2019	W	33	18	9	14	0	0	0	0	11	0	1	4	25
Aron Baynes	PHX	PHX vs. SAC	10/23/2019	W	10	5	2	3	1	1	0	0	2	1	0	0	7
Dario Saric	PHX	PHX vs. SAC	10/23/2019	W	21	7	2	7	1	4	2	2	4	0	1	1	12
Kelly Oubre Jr.	PHX	PHX vs. SAC	10/23/2019	W	30	21	8	17	1	6	4	4	9	1	1	2	19
Devin Booker	PHX	PHX vs. SAC	10/23/2019	W	32	22	10	17	2	4	0	1	2	10	1	0	25
Cheick Diallo	PHX	PHX vs. SAC	10/23/2019	W	2	2	0	0	0	0	2	2	0	0	0	0	-1
Elie Okobo	PHX	PHX vs. SAC	10/23/2019	W	2	3	1	1	1	1	0	0	0	0	0	0	-1
Jared Harper	PHX	PHX vs. SAC	10/23/2019	W	2	0	0	1	0	1	0	0	0	0	0	0	-1
Cory Joseph	SAC	SAC @ PHX	10/23/2019	L	21	10	3	6	0	1	4	4	1	4	1	1	-12
Harrison Barnes	SAC	SAC @ PHX	10/23/2019	L	30	12	5	11	1	3	1	3	6	1	1	0	-20
Dewayne Dedmon	SAC	SAC @ PHX	10/23/2019	L	14	3	1	3	0	1	1	1	6	1	0	1	-7
Buddy Hield	SAC	SAC @ PHX	10/23/2019	L	31	28	10	19	6	12	2	2	5	2	0	0	-15
Yogi Ferrell	SAC	SAC @ PHX	10/23/2019	L	4	3	1	2	1	2	0	0	1	0	0	0	-5
Marvin Bagley III	SAC	SAC @ PHX	10/23/2019	L	28	14	6	16	0	0	2	4	10	0	1	1	-21
Marcus Morris Sr.	NYK	NYK @ SAS	10/23/2019	L	39	26	9	18	3	7	5	5	4	1	3	0	-15
Elfrid Payton	NYK	NYK @ SAS	10/23/2019	L	26	11	4	9	1	2	2	2	2	8	5	0	14
Bobby Portis	NYK	NYK @ SAS	10/23/2019	L	33	8	4	10	0	3	0	1	7	5	2	0	-5
Dennis Smith Jr.	NYK	NYK @ SAS	10/23/2019	L	10	2	1	4	0	1	0	0	0	1	0	0	-3
Allonzo Trier	NYK	NYK @ SAS	10/23/2019	L	7	0	0	3	0	1	0	0	0	0	0	0	-6
RJ Barrett	NYK	NYK @ SAS	10/23/2019	L	37	21	9	13	1	3	2	4	5	2	2	0	-2
DeMar DeRozan	SAS	SAS vs. NYK	10/23/2019	W	32	13	3	10	0	1	7	11	4	4	0	1	2
Trey Lyles	SAS	SAS vs. NYK	10/23/2019	W	24	8	3	4	0	1	2	2	11	0	0	0	9
Jakob Poeltl	SAS	SAS vs. NYK	10/23/2019	W	16	6	3	4	0	0	0	0	4	1	0	1	9
Bryn Forbes	SAS	SAS vs. NYK	10/23/2019	W	33	20	7	12	3	6	3	3	5	1	0	0	4
LaMarcus Aldridge	SAS	SAS vs. NYK	10/23/2019	W	35	22	8	15	1	1	5	5	8	1	0	2	-3
